ICD code,short title,long title,male rate,female rate,male to female rate ratio,male freq,female freq
0093,Diarrhea of infect orig,Diarrhea of presumed infectious origin,9.104704097116843e-05,3.842311534619227e-05,2.3695902883156297,3.0,1.0
08881,Lyme disease,Lyme Disease,0.0005766312594840668,0.00015369246138476907,3.751851289833081,19.0,4.0
08882,Babesiosis,Babesiosis,0.0002731411229135053,0.0002305386920771536,1.1847951441578148,9.0,6.0
0931,Syphilitic aortitis,Syphilitic aortitis,3.0349013657056145e-05,3.842311534619227e-05,0.7898634294385433,1.0,1.0
0940,Tabes dorsalis,Tabes dorsalis,0.00012139605462822458,7.684623069238454e-05,1.5797268588770865,4.0,2.0
0949,Neurosyphilis NOS,"Neurosyphilis, unspecified",0.00018209408194233686,0.0001152693460385768,1.5797268588770865,6.0,3.0
096,Late syphilis latent,"Late syphilis, latent",3.0349013657056145e-05,3.842311534619227e-05,0.7898634294385433,1.0,1.0
0971,Latent syphilis NOS,"Latent syphilis, unspecified",6.069802731411229e-05,0.0001152693460385768,0.5265756196256955,2.0,3.0
04109,Other streptococcus,"Streptococcus infection in conditions classified elsewhere and of unspecified site, other streptococcus",0.002670713201820941,0.002151694459386767,1.2412139605462824,88.0,56.0
04110,Staphylococcus unspcfied,"Staphylococcus infection in conditions classified elsewhere and of unspecified site, staphylococcus, unspecified",0.0007587253414264037,0.001267962806424345,0.5983813859382904,25.0,33.0
04111,Mth sus Stph aur els/NOS,Methicillin susceptible Staphylococcus aureus in conditions classified elsewhere and of unspecified site,0.012503793626707132,0.011181126565741951,1.1182946148751882,412.0,291.0
04112,MRSA elsewhere/NOS,Methicillin resistant Staphylococcus aureus in conditions classified elsewhere and of unspecified site,0.00409711684370258,0.003996003996003996,1.0253034901365705,135.0,104.0
04119,Other staphylococcus,"Staphylococcus infection in conditions classified elsewhere and of unspecified site, other staphylococcus",0.005371775417298938,0.004457081380158303,1.2052226466432945,177.0,116.0
0412,Pneumococcus infect NOS,Pneumococcus infection in conditions classified elsewhere and of unspecified site,0.0003338391502276176,7.684623069238454e-05,4.344248861911988,11.0,2.0
0413,Klebsiella pneumoniae,Friedl?nder's bacillus infection in conditions classified elsewhere and of unspecified site,0.006342943854324734,0.01014370245139476,0.6253085483055134,209.0,264.0
04149,E.coli infection NEC/NOS,Other and unspecified Escherichia coli [E. coli],0.001881638846737481,0.004956581879658803,0.37962428391619907,62.0,129.0
0415,H. influenzae infect NOS,Hemophilus influenzae [H. influenzae] infection in conditions classified elsewhere and of unspecified site,0.0006980273141122913,0.0006147698455390763,1.1354286798179059,23.0,16.0
0416,Proteus infection NOS,Proteus (mirabilis) (morganii) infection in conditions classified elsewhere and of unspecified site,0.0025189681335356603,0.004995004995004995,0.5042974203338392,83.0,130.0
0417,Pseudomonas infect NOS,Pseudomonas infection in conditions classified elsewhere and of unspecified site,0.007071320182094082,0.006570352724198878,1.0762466611647987,233.0,171.0
04182,Bacteroides fragilis,Bacteroides fragilis,0.0002731411229135053,0.0001152693460385768,2.3695902883156297,9.0,3.0
04183,Clostridium perfringens,"Other specified bacterial infections in conditions classified elsewhere and of unspecified site, Clostridium perfringens",0.00021244309559939302,0.0001152693460385768,1.8430146686899342,7.0,3.0
04184,Other anaerobes,"Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other anaerobes",0.0010015174506828527,0.0007300391915776531,1.3718680616564172,33.0,19.0
04185,Oth gram negatv bacteria,"Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other gram-negative organisms",0.004795144157814871,0.005456082379159302,0.8788621257133087,158.0,142.0
04186,Helicobacter pylori,Helicobacter pylori [H. pylori],0.0036418816388467377,0.0032275416890801506,1.1283763277693475,120.0,84.0
04189,Oth specf bacteria,"Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other specified bacteria",0.0008194233687405159,0.0016906170752324597,0.48468892261001517,27.0,44.0
0419,Bacterial infection NOS,"Bacterial infection, unspecified, in conditions classified elsewhere and of unspecified site",0.00018209408194233686,0.0004995004995004995,0.3645523520485584,6.0,13.0
042,Human immuno virus dis,Human immunodeficiency virus [HIV] disease,0.012321699544764796,0.00507185122569738,2.429428426909459,406.0,132.0
0463,Prog multifoc leukoencep,Progressive multifocal leukoencephalopathy,9.104704097116843e-05,7.684623069238454e-05,1.1847951441578148,3.0,2.0
0478,Viral meningitis NEC,Other specified viral meningitis,6.069802731411229e-05,3.842311534619227e-05,1.5797268588770865,2.0,1.0
0479,Viral meningitis NOS,Unspecified viral meningitis,0.0004552352048558422,0.0005379236148466917,0.8462822458270107,15.0,14.0
048,Oth enteroviral cns dis,Other enterovirus diseases of central nervous system,6.069802731411229e-05,0.0001152693460385768,0.5265756196256955,2.0,3.0
0498,Viral encephalitis NEC,Other specified non-arthropod-borne viral diseases of central nervous system,6.069802731411229e-05,3.842311534619227e-05,1.5797268588770865,2.0,1.0
0499,Viral encephalitis NOS,Unspecified non-arthropod-borne viral diseases of central nervous system,0.00024279210925644916,0.00015369246138476907,1.5797268588770865,8.0,4.0
0520,Postvaricella encephalit,Postvaricella encephalitis,3.0349013657056145e-05,7.684623069238454e-05,0.39493171471927163,1.0,2.0
0521,Varicella pneumonitis,Varicella (hemorrhagic) pneumonitis,6.069802731411229e-05,0.0001152693460385768,0.5265756196256955,2.0,3.0
0527,Varicella complicat NEC,Chickenpox with other specified complications,9.104704097116843e-05,3.842311534619227e-05,2.3695902883156297,3.0,1.0
0529,Varicella uncomplicated,Varicella without mention of complication,6.069802731411229e-05,0.00019211557673096135,0.31594537177541726,2.0,5.0
0530,Herpes zoster meningitis,Herpes zoster with meningitis,9.104704097116843e-05,0.0001152693460385768,0.7898634294385433,3.0,3.0
05312,Postherpes trigem neural,Postherpetic trigeminal neuralgia,3.0349013657056145e-05,3.842311534619227e-05,0.7898634294385433,1.0,1.0
05313,Postherpes polyneuropath,Postherpetic polyneuropathy,3.0349013657056145e-05,7.684623069238454e-05,0.39493171471927163,1.0,2.0
05319,H zoster nerv syst NEC,Herpes zoster with other nervous system complications,0.0006069802731411229,0.000999000999000999,0.607587253414264,20.0,26.0
05329,Herpes zoster of eye NEC,Herpes zoster with other ophthalmic complications,9.104704097116843e-05,7.684623069238454e-05,1.1847951441578148,3.0,2.0
05379,H zoster complicated NEC,Herpes zoster with other specified complications,0.00012139605462822458,0.0001152693460385768,1.053151239251391,4.0,3.0
0539,Herpes zoster NOS,Herpes zoster without mention of complication,0.0009408194233687405,0.0016137708445400753,0.5829944360141629,31.0,42.0
05410,Genital herpes NOS,"Genital herpes, unspecified",0.00018209408194233686,0.0008068854222700376,0.2256752655538695,6.0,21.0
05419,Genital herpes NEC,Other genital herpes,9.104704097116843e-05,0.00015369246138476907,0.5923975720789074,3.0,4.0
0542,Herpetic gingivostomat,Herpetic gingivostomatitis,0.0005462822458270106,0.0005379236148466917,1.0155386949924128,18.0,14.0
0543,Herpetic encephalitis,Herpetic meningoencephalitis,0.0003338391502276176,0.0003842311534619227,0.8688497723823976,11.0,10.0
0545,Herpetic septicemia,Herpetic septicemia,3.0349013657056145e-05,3.842311534619227e-05,0.7898634294385433,1.0,1.0
05479,H simplex complicat NEC,Herpes simplex with other specified complications,0.0003641881638846737,0.0005763467301928841,0.6318907435508345,12.0,15.0
0549,Herpes simplex NOS,Herpes simplex without mention of complication,0.0016388467374810318,0.0023053869207715363,0.7108770864946888,54.0,60.0
11289,Candidiasis site NEC,Other candidiasis of other specified sites,0.0016388467374810318,0.0021901175747329592,0.7482916699944093,54.0,57.0
01803,Ac miliary tb-micro dx,"Acute miliary tuberculosis, tubercle bacilli found (in sputum) by microscopy",3.0349013657056145e-05,3.842311534619227e-05,0.7898634294385433,1.0,1.0
0340,Strep sore throat,Streptococcal sore throat,0.0002731411229135053,0.00026896180742334586,1.0155386949924128,9.0,7.0
035,Erysipelas,Erysipelas,3.0349013657056145e-05,7.684623069238454e-05,0.39493171471927163,1.0,2.0
0360,Meningococcal meningitis,Meningococcal meningitis,9.104704097116843e-05,7.684623069238454e-05,1.1847951441578148,3.0,2.0
0362,Meningococcemia,Meningococcemia,0.00012139605462822458,3.842311534619227e-05,3.159453717754173,4.0,1.0
0380,Streptococcal septicemia,Streptococcal septicemia,0.006919575113808801,0.005686621071236456,1.2168166345404583,228.0,148.0
03810,Staphylcocc septicem NOS,"Staphylococcal septicemia, unspecified",0.0008801213960546282,0.0005763467301928841,1.5270692969145168,29.0,15.0
03811,Meth susc Staph aur sept,Methicillin susceptible Staphylococcus aureus septicemia,0.010136570561456752,0.006954583877660801,1.457538041063389,334.0,181.0
03812,MRSA septicemia,Methicillin resistant Staphylococcus aureus septicemia,0.0024279210925644916,0.0014600783831553062,1.6628703777653542,80.0,38.0
03819,Staphylcocc septicem NEC,Other staphylococcal septicemia,0.0023368740515933234,0.0028048874202720358,0.833143617352984,77.0,73.0
0382,Pneumococcal septicemia,Pneumococcal septicemia [Streptococcus pneumoniae septicemia],0.001456752655538695,0.0015369246138476908,0.9478361153262518,48.0,40.0
0383,Anaerobic septicemia,Septicemia due to anaerobes,0.001669195751138088,0.002113271344040575,0.7898634294385432,55.0,55.0
03840,Gram-neg septicemia NOS,"Septicemia due to gram-negative organism, unspecified",0.001031866464339909,0.000999000999000999,1.032898330804249,34.0,26.0
03841,H. influenae septicemia,Septicemia due to hemophilus influenzae [H. influenzae],9.104704097116843e-05,3.842311534619227e-05,2.3695902883156297,3.0,1.0
03842,E coli septicemia,Septicemia due to escherichia coli [E. coli],0.006191198786039453,0.010105279336048567,0.6126697323401628,204.0,263.0
03843,Pseudomonas septicemia,Septicemia due to pseudomonas,0.0021851289833080424,0.002113271344040575,1.0340030349013656,72.0,55.0
03844,Serratia septicemia,Septicemia due to serratia,0.0005462822458270106,0.00034580803811573043,1.5797268588770863,18.0,9.0
03849,Gram-neg septicemia NEC,Other septicemia due to gram-negative organisms,0.007040971168437026,0.00626296780142934,1.124222795274491,232.0,163.0
0388,Septicemia NEC,Other specified septicemias,0.003520485584218513,0.003458080381157304,1.0180461979430113,116.0,90.0
0389,Septicemia NOS,Unspecified septicemia,0.06139605462822458,0.06539614231921924,0.9388329716534507,2023.0,1702.0
0391,Pulmonary actinomycosis,Pulmonary actinomycotic infection,9.104704097116843e-05,0.00015369246138476907,0.5923975720789074,3.0,4.0
0398,Actinomycosis NEC,Actinomycotic infection of other specified sites,3.0349013657056145e-05,7.684623069238454e-05,0.39493171471927163,1.0,2.0
0400,Gas gangrene,Gas gangrene,0.00015174506828528073,0.00019211557673096135,0.7898634294385433,5.0,5.0
04082,Toxic shock syndrome,Toxic shock syndrome,0.0003641881638846737,0.0004995004995004995,0.7291047040971168,12.0,13.0
04089,Bacterial diseases NEC,Other specified bacterial diseases,3.0349013657056145e-05,3.842311534619227e-05,0.7898634294385433,1.0,1.0
04100,Streptococcus unspecf,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, unspecified",0.0003945371775417299,0.0004995004995004995,0.7898634294385433,13.0,13.0
04101,Streptococcus group a,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group A",0.0006069802731411229,0.0006531929608852686,0.9292510934571097,20.0,17.0
04102,Streptococcus group b,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group B",0.0011836115326251896,0.0016137708445400753,0.7334446130500758,39.0,42.0
04103,Streptococcus group c,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group C",9.104704097116843e-05,3.842311534619227e-05,2.3695902883156297,3.0,1.0
04104,Enterococcus group d,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group D [Enterococcus]",0.009317147192716237,0.011795896411281027,0.7898634294385433,307.0,307.0
04105,Streptococcus group g,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group G",9.104704097116843e-05,3.842311534619227e-05,2.3695902883156297,3.0,1.0
01894,Miliary TB NOS-cult dx,"Miliary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",9.104704097116843e-05,3.842311534619227e-05,2.3695902883156297,3.0,1.0
0270,Listeriosis,Listeriosis,6.069802731411229e-05,0.00030738492276953815,0.19746585735963582,2.0,8.0
0272,Pasteurellosis,Pasteurellosis,9.104704097116843e-05,3.842311534619227e-05,2.3695902883156297,3.0,1.0
0310,Pulmonary mycobacteria,Pulmonary diseases due to other mycobacteria,9.104704097116843e-05,0.0004610773841543072,0.19746585735963582,3.0,12.0
0311,Cutaneous mycobacteria,Cutaneous diseases due to other mycobacteria,3.0349013657056145e-05,3.842311534619227e-05,0.7898634294385433,1.0,1.0
0312,DMAC bacteremia,Disseminated due to other mycobacteria,0.00030349013657056146,0.0002305386920771536,1.3164390490642388,10.0,6.0
0319,Mycobacterial dis NOS,Unspecified diseases due to mycobacteria,6.069802731411229e-05,7.684623069238454e-05,0.7898634294385433,2.0,2.0
0329,Diphtheria NOS,"Diphtheria, unspecified",3.0349013657056145e-05,3.842311534619227e-05,0.7898634294385433,1.0,1.0
01325,Tubrcloma brain-histo dx,"Tuberculoma of brain, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",3.0349013657056145e-05,3.842311534619227e-05,0.7898634294385433,1.0,1.0
01504,TB of vertebra-cult dx,"Tuberculosis of vertebral column, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",3.0349013657056145e-05,3.842311534619227e-05,0.7898634294385433,1.0,1.0
1598,Mal neo gi/intra-abd NEC,Malignant neoplasm of other sites of digestive system and intra-abdominal organs,3.0349013657056145e-05,3.842311534619227e-05,0.7898634294385433,1.0,1.0
1712,Mal neo soft tissue arm,"Malignant neoplasm of connective and other soft tissue of upper limb, including shoulder",6.069802731411229e-05,3.842311534619227e-05,1.5797268588770865,2.0,1.0
1713,Mal neo soft tissue leg,"Malignant neoplasm of connective and other soft tissue of lower limb, including hip",0.00021244309559939302,0.0001152693460385768,1.8430146686899342,7.0,3.0
1714,Mal neo soft tis thorax,Malignant neoplasm of connective and other soft tissue of thorax,6.069802731411229e-05,0.0002305386920771536,0.2632878098128478,2.0,6.0
1715,Mal neo soft tis abdomen,Malignant neoplasm of connective and other soft tissue of abdomen,0.00015174506828528073,0.00015369246138476907,0.9873292867981791,5.0,4.0
1716,Mal neo soft tis pelvis,Malignant neoplasm of connective and other soft tissue of pelvis,3.0349013657056145e-05,0.0001152693460385768,0.2632878098128478,1.0,3.0
1718,Mal neo soft tissue NEC,Malignant neoplasm of other specified sites of connective and other soft tissue,3.0349013657056145e-05,3.842311534619227e-05,0.7898634294385433,1.0,1.0
1720,Malig melanoma lip,Malignant melanoma of skin of lip,3.0349013657056145e-05,3.842311534619227e-05,0.7898634294385433,1.0,1.0
1725,Malig melanoma trunk,"Malignant melanoma of skin of trunk, except scrotum",0.00024279210925644916,0.0001152693460385768,2.106302478502782,8.0,3.0
1729,Malig melanoma skin NOS,"Melanoma of skin, site unspecified",0.00030349013657056146,0.0003842311534619227,0.7898634294385433,10.0,10.0
1610,Malignant neo glottis,Malignant neoplasm of glottis,0.00015174506828528073,3.842311534619227e-05,3.9493171471927164,5.0,1.0
1611,Malig neo supraglottis,Malignant neoplasm of supraglottis,9.104704097116843e-05,0.0001152693460385768,0.7898634294385433,3.0,3.0
1612,Malig neo subglottis,Malignant neoplasm of subglottis,6.069802731411229e-05,3.842311534619227e-05,1.5797268588770865,2.0,1.0
1613,Mal neo cartilage larynx,Malignant neoplasm of laryngeal cartilages,3.0349013657056145e-05,3.842311534619227e-05,0.7898634294385433,1.0,1.0
1618,Malignant neo larynx NEC,Malignant neoplasm of other specified sites of larynx,0.00021244309559939302,0.00015369246138476907,1.3822610015174508,7.0,4.0
1619,Malignant neo larynx NOS,"Malignant neoplasm of larynx, unspecified",0.00030349013657056146,3.842311534619227e-05,7.898634294385433,10.0,1.0
1620,Malignant neo trachea,Malignant neoplasm of trachea,9.104704097116843e-05,7.684623069238454e-05,1.1847951441578148,3.0,2.0
1622,Malig neo main bronchus,Malignant neoplasm of main bronchus,0.001244309559939302,0.0012295396910781526,1.0120125189681337,41.0,32.0
1623,Mal neo upper lobe lung,"Malignant neoplasm of upper lobe, bronchus or lung",0.005675265553869499,0.005686621071236456,0.998003116925727,187.0,148.0
1624,Mal neo middle lobe lung,"Malignant neoplasm of middle lobe, bronchus or lung",0.0007587253414264037,0.0003842311534619227,1.974658573596358,25.0,10.0
1625,Mal neo lower lobe lung,"Malignant neoplasm of lower lobe, bronchus or lung",0.002883156297420334,0.0027664643049258434,1.0421809138425224,95.0,72.0
1628,Mal neo bronch/lung NEC,Malignant neoplasm of other parts of bronchus or lung,0.006858877086494689,0.006339814032121725,1.081873545776429,226.0,165.0
1629,Mal neo bronch/lung NOS,"Malignant neoplasm of bronchus and lung, unspecified",0.0027921092564491654,0.0031891185737339582,0.8755112711848914,92.0,83.0
1630,Mal neo parietal pleura,Malignant neoplasm of parietal pleura,6.069802731411229e-05,3.842311534619227e-05,1.5797268588770865,2.0,1.0
1638,Malig neopl pleura NEC,Malignant neoplasm of other specified sites of pleura,3.0349013657056145e-05,3.842311534619227e-05,0.7898634294385433,1.0,1.0
1639,Malig neopl pleura NOS,"Malignant neoplasm of pleura, unspecified",0.00015174506828528073,3.842311534619227e-05,3.9493171471927164,5.0,1.0
1640,Malignant neopl thymus,Malignant neoplasm of thymus,6.069802731411229e-05,0.00030738492276953815,0.19746585735963582,2.0,8.0
1641,Malignant neopl heart,Malignant neoplasm of heart,3.0349013657056145e-05,3.842311534619227e-05,0.7898634294385433,1.0,1.0
1642,Mal neo ant mediastinum,Malignant neoplasm of anterior mediastinum,9.104704097116843e-05,3.842311534619227e-05,2.3695902883156297,3.0,1.0
1648,Mal neo mediastinum NEC,Malignant neoplasm of other parts of mediastinum,9.104704097116843e-05,3.842311534619227e-05,2.3695902883156297,3.0,1.0
1649,Mal neo mediastinum NOS,"Malignant neoplasm of mediastinum, part unspecified",3.0349013657056145e-05,7.684623069238454e-05,0.39493171471927163,1.0,2.0
1700,Mal neo skull/face bone,"Malignant neoplasm of bones of skull and face, except mandible",9.104704097116843e-05,0.0001152693460385768,0.7898634294385433,3.0,3.0
1707,Mal neo long bones leg,Malignant neoplasm of long bones of lower limb,0.00012139605462822458,7.684623069238454e-05,1.5797268588770865,4.0,2.0
1710,Mal neo soft tissue head,"Malignant neoplasm of connective and other soft tissue of head, face, and neck",9.104704097116843e-05,0.0001152693460385768,0.7898634294385433,3.0,3.0
1100,Dermatophyt scalp/beard,Dermatophytosis of scalp and beard,3.0349013657056145e-05,3.842311534619227e-05,0.7898634294385433,1.0,1.0
1101,Dermatophytosis of nail,Dermatophytosis of nail,0.0007587253414264037,0.0004610773841543072,1.6455488113302985,25.0,12.0
1103,Dermatophytosis of groin,Dermatophytosis of groin and perianal area,0.0007587253414264037,0.0005379236148466917,1.4104704097116845,25.0,14.0
1104,Dermatophytosis of foot,Dermatophytosis of foot,0.0004552352048558422,0.00030738492276953815,1.4809939301972688,15.0,8.0
1105,Dermatophytosis of body,Dermatophytosis of the body,0.0002731411229135053,0.0007300391915776531,0.37414583499720466,9.0,19.0
1108,Dermatophytosis site NEC,Dermatophytosis of other specified sites,0.00012139605462822458,0.00030738492276953815,0.39493171471927163,4.0,8.0
1109,Dermatophytosis site NOS,Dermatophytosis of unspecified site,3.0349013657056145e-05,3.842311534619227e-05,0.7898634294385433,1.0,1.0
1119,Dermatomycosis NOS,"Dermatomycosis, unspecified",9.104704097116843e-05,0.0004610773841543072,0.19746585735963582,3.0,12.0
1120,Thrush,Candidiasis of mouth,0.010257966616084977,0.011834319526627219,0.8667981790591806,338.0,308.0
1122,Candidias urogenital NEC,Candidiasis of other urogenital sites,0.004006069802731411,0.007876738645969415,0.5085949887116473,132.0,205.0
1123,Cutaneous candidiasis,Candidiasis of skin and nails,0.001426403641881639,0.003150695458387766,0.4527265998001407,47.0,82.0
1124,Candidiasis of lung,Candidiasis of lung,0.0006069802731411229,0.0006531929608852686,0.9292510934571097,20.0,17.0
1125,Disseminated candidiasis,Disseminated candidiasis,0.0028224582701062216,0.0030354261123491893,0.9298392270605635,93.0,79.0
11281,Candidal endocarditis,Candidal endocarditis,6.069802731411229e-05,0.0001152693460385768,0.5265756196256955,2.0,3.0
11284,Candidal esophagitis,Candidal esophagitis,0.0023368740515933234,0.0018827326519634212,1.2412139605462824,77.0,49.0
11285,Candidal enteritis,Candidal enteritis,3.0349013657056145e-05,3.842311534619227e-05,0.7898634294385433,1.0,1.0
1129,Candidiasis site NOS,Candidiasis of unspecified site,0.00018209408194233686,0.0005763467301928841,0.31594537177541726,6.0,15.0
11599,Histoplasmosis NEC,"Histoplasmosis, unspecified, other",0.00012139605462822458,7.684623069238454e-05,1.5797268588770865,4.0,2.0
1173,Aspergillosis,Aspergillosis,0.0023368740515933234,0.0014600783831553062,1.6005127385991536,77.0,38.0
1175,Cryptococcosis,Cryptococcosis,0.0002731411229135053,0.00019211557673096135,1.4217541729893777,9.0,5.0
1177,Zygomycosis,Zygomycosis [Phycomycosis or Mucormycosis],0.00018209408194233686,3.842311534619227e-05,4.739180576631259,6.0,1.0
1179,Mycoses NEC & NOS,Other and unspecified mycoses,0.0023975720789074354,0.002113271344040575,1.1345311077389983,79.0,55.0
118,Opportunistic mycoses,Opportunistic mycoses,9.104704097116843e-05,3.842311534619227e-05,2.3695902883156297,3.0,1.0
1209,Schistosomiasis NOS,"Schistosomiasis, unspecified",3.0349013657056145e-05,0.0001152693460385768,0.2632878098128478,1.0,3.0
1211,Clonorchiasis,Clonorchiasis,3.0349013657056145e-05,7.684623069238454e-05,0.39493171471927163,1.0,2.0
1228,Echinococcosis NOS liver,"Echinococcosis, unspecified, of liver",3.0349013657056145e-05,3.842311534619227e-05,0.7898634294385433,1.0,1.0
1231,Cysticercosis,Cysticercosis,0.00024279210925644916,0.0001152693460385768,2.106302478502782,8.0,3.0
1251,Malayan filariasis,Malayan filariasis,3.0349013657056145e-05,3.842311534619227e-05,0.7898634294385433,1.0,1.0
1272,Strongyloidiasis,Strongyloidiasis,0.00012139605462822458,7.684623069238454e-05,1.5797268588770865,4.0,2.0
1300,Toxoplasm meningoenceph,Meningoencephalitis due to toxoplasmosis,0.00012139605462822458,3.842311534619227e-05,3.159453717754173,4.0,1.0
1307,Toxoplasmosis site NEC,Toxoplasmosis of other specified sites,0.00021244309559939302,7.684623069238454e-05,2.7645220030349016,7.0,2.0
1320,Pediculus capitis,Pediculus capitis [head louse],3.0349013657056145e-05,3.842311534619227e-05,0.7898634294385433,1.0,1.0
1330,Scabies,Scabies,0.00015174506828528073,0.00015369246138476907,0.9873292867981791,5.0,4.0
135,Sarcoidosis,Sarcoidosis,0.00291350531107739,0.006070852224698379,0.4799170204183554,96.0,158.0
1363,Pneumocystosis,Pneumocystosis,0.0015174506828528073,0.0013832321524629217,1.0970325408868657,50.0,36.0
1369,Infect/parasite dis NOS,Unspecified infectious and parasitic diseases,0.0002731411229135053,0.00019211557673096135,1.4217541729893777,9.0,5.0
1370,"Late effect tb, resp/NOS",Late effects of respiratory or unspecified tuberculosis,3.0349013657056145e-05,0.0001152693460385768,0.2632878098128478,1.0,3.0
138,Late effect acute polio,Late effects of acute poliomyelitis,0.0011229135053110774,0.0013832321524629217,0.8118040802562806,37.0,36.0
1398,Late eff infect dis NEC,Late effects of other and unspecified infectious and parasitic diseases,9.104704097116843e-05,0.00034580803811573043,0.2632878098128477,3.0,9.0
1409,Mal neo lip/vermil NOS,"Malignant neoplasm of lip, unspecified, vermilion border",3.0349013657056145e-05,3.842311534619227e-05,0.7898634294385433,1.0,1.0
1414,Mal neo ant 2/3 tongue,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified",3.0349013657056145e-05,3.842311534619227e-05,0.7898634294385433,1.0,1.0
1418,Malig neo tongue NEC,Malignant neoplasm of other sites of tongue,0.00021244309559939302,3.842311534619227e-05,5.529044006069803,7.0,1.0
20240,Lk rtctl unsp xtrndl org,"Leukemic reticuloendotheliosis, unspecified site, extranodal and solid organ sites",0.0002731411229135053,7.684623069238454e-05,3.5543854324734445,9.0,2.0
0579,Viral exanthemata NOS,"Viral exanthem, unspecified",6.069802731411229e-05,3.842311534619227e-05,1.5797268588770865,2.0,1.0
0701,Hepatitis A w/o coma,Viral hepatitis A without mention of hepatic coma,0.0004552352048558422,0.0001152693460385768,3.9493171471927164,15.0,3.0
07020,Hpt B acte coma wo dlta,"Viral hepatitis B with hepatic coma, acute or unspecified, without mention of hepatitis delta",0.0003945371775417299,0.00030738492276953815,1.2835280728376328,13.0,8.0
07022,Hpt B chrn coma wo dlta,Chronic viral hepatitis B with hepatic coma without hepatitis delta,0.0005159332321699545,7.684623069238454e-05,6.713839150227618,17.0,2.0
07030,Hpt B acte wo cm wo dlta,"Viral hepatitis B without mention of hepatic coma, acute or unspecified, without mention of hepatitis delta",0.004248861911987861,0.001267962806424345,3.350935761254426,140.0,33.0
07032,Hpt B chrn wo cm wo dlta,Chronic viral hepatitis B without mention of hepatic coma without mention of hepatitis delta,0.006858877086494689,0.002459079382156305,2.789205235204856,226.0,64.0
07041,Hpt C acute w hepat Coma,Acute hepatitis C with hepatic coma,0.00021244309559939302,0.00026896180742334586,0.7898634294385434,7.0,7.0
07044,Chrnc hpt C w hepat Coma,Chronic hepatitis C with hepatic coma,0.003368740515933232,0.002420656266810113,1.3916641375821954,111.0,63.0
07051,Hpt C acute wo hpat coma,Acute hepatitis C without mention of hepatic coma,0.0022154779969650986,0.0007684623069238454,2.8830015174506824,73.0,20.0
