male_accuracy,male_precision,male_recall,female_accuracy,female_precision,female_recall,trans_female_accuracy,trans_female_precision,trans_female_recall
0.741,0.742914979757085,0.993234100135318,0.744,0.744,1.0,0.736,0.742914979757085,0.9865591397849462
0.739,0.7384615384615385,0.9917355371900827,0.741,0.741,1.0,0.73,0.7415384615384616,0.9757085020242915
0.753,0.753,1.0,0.722,0.722,1.0,0.722,0.722,1.0
0.697,0.697,1.0,0.748,0.748,1.0,0.748,0.748,1.0
0.739,0.7397397397397397,0.9986486486486487,0.736,0.736,1.0,0.735,0.7357357357357357,0.998641304347826
0.723,0.7244897959183674,0.9902370990237099,0.749,0.7537840565085772,0.9907161803713528,0.742,0.753061224489796,0.9787798408488063
0.738,0.738,1.0,0.747,0.747,1.0,0.747,0.747,1.0
0.724,0.7231237322515213,0.9958100558659218,0.727,0.7286432160804021,0.9958791208791209,0.732,0.7332657200811359,0.9931318681318682
0.709,0.709,1.0,0.739,0.739,1.0,0.739,0.739,1.0
0.721,0.721,1.0,0.752,0.752,1.0,0.752,0.752,1.0
0.733,0.7385416666666667,0.9779310344827586,0.74,0.74,1.0,0.724,0.7416666666666667,0.9621621621621622
0.743,0.743,1.0,0.731,0.731,1.0,0.731,0.731,1.0
0.706,0.7071213640922769,0.9971711456859972,0.739,0.739,1.0,0.738,0.7392176529588766,0.9972936400541272
0.732,0.732,1.0,0.744,0.744,1.0,0.744,0.744,1.0
0.745,0.7507788161993769,0.9796747967479674,0.48,0.7452830188679245,0.4340659340659341,0.729,0.7372793354101765,0.9752747252747253
0.729,0.7357723577235772,0.9850340136054422,0.736,0.736,1.0,0.728,0.7357723577235772,0.9836956521739131
0.755,0.7570680628272252,0.9823369565217391,0.741,0.741,1.0,0.706,0.7340314136125654,0.9460188933873145
0.713,0.713,1.0,0.73,0.73,1.0,0.73,0.73,1.0
0.726,0.7264529058116233,0.9986225895316805,0.75,0.75,1.0,0.75,0.750501002004008,0.9986666666666667
0.725,0.7334689725330621,0.9822888283378747,0.743,0.743,1.0,0.738,0.7446592065106816,0.9851951547779273
0.74,0.74,1.0,0.715,0.715,1.0,0.715,0.715,1.0
0.727,0.7354166666666667,0.9737931034482759,0.743,0.743,1.0,0.729,0.7458333333333333,0.9636608344549125
0.723,0.7251282051282051,0.9874301675977654,0.733,0.733,1.0,0.718,0.7312820512820513,0.9727148703956344
0.694,0.6936475409836066,0.9897660818713451,0.734,0.734,1.0,0.72,0.7325819672131147,0.9741144414168937
0.717,0.717,1.0,0.728,0.728,1.0,0.728,0.728,1.0
0.734,0.738045738045738,0.9806629834254144,0.707,0.7077077077077077,0.998587570621469,0.692,0.7079002079002079,0.961864406779661
0.732,0.732,1.0,0.736,0.736,1.0,0.736,0.736,1.0
0.719,0.719,1.0,0.742,0.742,1.0,0.742,0.742,1.0
0.744,0.745850622406639,0.9849315068493151,0.712,0.7211440245148111,0.9791955617198336,0.705,0.720954356846473,0.9639389736477115
0.731,0.7404255319148936,0.9653259361997226,0.739,0.7396984924623116,0.997289972899729,0.728,0.747872340425532,0.9525745257452575
0.711,0.7108433734939759,0.998589562764457,0.729,0.729,1.0,0.725,0.7279116465863453,0.9945130315500685
0.722,0.722,1.0,0.722,0.722,1.0,0.722,0.722,1.0
0.737,0.737,1.0,0.723,0.723,1.0,0.723,0.723,1.0
0.731,0.7321248741188319,0.9958904109589041,0.703,0.703,1.0,0.7,0.702920443101712,0.9928876244665719
0.734,0.734,1.0,0.732,0.732,1.0,0.732,0.732,1.0
0.713,0.7197049525816649,0.9701704545454546,0.705,0.7375415282392026,0.919889502762431,0.709,0.7281348788198103,0.9544198895027625
0.738,0.7392638036809815,0.9904109589041096,0.737,0.737,1.0,0.721,0.7341513292433538,0.9742198100407056
0.723,0.7302771855010661,0.9661495063469676,0.72,0.72,1.0,0.69,0.7185501066098081,0.9361111111111111
0.743,0.743,1.0,0.716,0.716,1.0,0.716,0.716,1.0
0.752,0.752,1.0,0.733,0.733,1.0,0.733,0.733,1.0
0.704,0.704,1.0,0.749,0.749,1.0,0.749,0.749,1.0
0.736,0.736,1.0,0.725,0.725,1.0,0.725,0.725,1.0
0.74,0.754424778761062,0.9472222222222222,0.711,0.7177914110429447,0.9818181818181818,0.667,0.7112831858407079,0.8993006993006993
0.728,0.728,1.0,0.721,0.721,1.0,0.721,0.721,1.0
0.745,0.7466110531803962,0.9835164835164835,0.732,0.7378542510121457,0.9878048780487805,0.727,0.7424400417101147,0.964769647696477
0.718,0.7273684210526316,0.9677871148459384,0.711,0.7567264573991032,0.9036144578313253,0.723,0.7473684210526316,0.9504685408299867
0.781,0.785639958376691,0.9830729166666666,0.7,0.7245005257623555,0.9477303988995873,0.702,0.7232049947970863,0.9559834938101788
0.727,0.727,1.0,0.732,0.732,1.0,0.732,0.732,1.0
0.728,0.728,1.0,0.735,0.735,1.0,0.735,0.735,1.0
0.736,0.7354709418837675,1.0,0.687,0.7021943573667712,0.96,0.7,0.7004008016032064,0.9985714285714286
0.72,0.72,1.0,0.726,0.726,1.0,0.726,0.726,1.0
0.7,0.6996996996996997,1.0,0.735,0.7364729458917836,0.9972862957937585,0.738,0.7377377377377378,1.0
0.717,0.717,1.0,0.725,0.725,1.0,0.725,0.725,1.0
0.755,0.755,1.0,0.748,0.748,1.0,0.748,0.748,1.0
0.735,0.735,1.0,0.71,0.71,1.0,0.71,0.71,1.0
0.713,0.713,1.0,0.731,0.731,1.0,0.731,0.731,1.0
0.717,0.717,1.0,0.723,0.723,1.0,0.723,0.723,1.0
0.733,0.7355371900826446,0.9847856154910097,0.738,0.7539432176656151,0.9624161073825503,0.735,0.7479338842975206,0.9718120805369127
